time,counts
2016-11-09 00:20:00,374
2016-11-09 00:21:00,371
2016-11-09 00:22:00,415
2016-11-09 00:23:00,418
2016-11-09 00:24:00,439
2016-11-09 00:25:00,303
2016-11-09 00:26:00,286
2016-11-09 00:27:00,279
2016-11-09 00:28:00,317
2016-11-09 00:29:00,308
2016-11-09 00:30:00,407
2016-11-09 00:31:00,438
2016-11-09 00:32:00,318
2016-11-09 00:33:00,352
2016-11-09 00:34:00,385
2016-11-09 00:35:00,405
2016-11-09 00:36:00,443
2016-11-09 00:37:00,408
2016-11-09 00:38:00,347
2016-11-09 00:39:00,385
2016-11-09 00:40:00,381
2016-11-09 00:41:00,431
2016-11-09 00:42:00,437
2016-11-09 00:43:00,348
2016-11-09 00:44:00,371
2016-11-09 00:45:00,367
2016-11-09 00:46:00,436
2016-11-09 00:47:00,441
2016-11-09 00:48:00,500
2016-11-09 00:49:00,470
2016-11-09 00:50:00,312
2016-11-09 00:51:00,252
2016-11-09 00:52:00,463
2016-11-09 00:53:00,419
2016-11-09 00:54:00,406
2016-11-09 00:55:00,321
2016-11-09 00:56:00,364
2016-11-09 00:57:00,419
2016-11-09 00:58:00,418
2016-11-09 00:59:00,435
2016-11-09 01:00:00,362
2016-11-09 01:01:00,319
2016-11-09 01:02:00,257
2016-11-09 01:03:00,377
2016-11-09 01:04:00,274
2016-11-09 01:05:00,288
2016-11-09 01:06:00,248
2016-11-09 01:07:00,225
2016-11-09 01:08:00,364
2016-11-09 01:09:00,345
2016-11-09 01:10:00,371
2016-11-09 01:11:00,304
2016-11-09 01:12:00,286
2016-11-09 01:13:00,384
2016-11-09 01:14:00,371
2016-11-09 01:15:00,356
2016-11-09 01:16:00,277
2016-11-09 01:17:00,312
2016-11-09 01:18:00,411
2016-11-09 01:19:00,274
