time,counts
2016-11-09 03:01:00,349
2016-11-09 03:02:00,333
2016-11-09 03:03:00,298
2016-11-09 03:04:00,299
2016-11-09 03:05:00,355
2016-11-09 03:06:00,402
2016-11-09 03:07:00,356
2016-11-09 03:08:00,359
2016-11-09 03:09:00,394
2016-11-09 03:10:00,233
2016-11-09 03:11:00,254
2016-11-09 03:12:00,290
2016-11-09 03:13:00,345
2016-11-09 03:14:00,357
2016-11-09 03:15:00,376
2016-11-09 03:16:00,337
2016-11-09 03:17:00,322
2016-11-09 03:18:00,373
2016-11-09 03:19:00,301
2016-11-09 03:20:00,387
2016-11-09 03:21:00,360
2016-11-09 03:22:00,407
2016-11-09 03:23:00,302
2016-11-09 03:24:00,300
2016-11-09 03:25:00,324
2016-11-09 03:26:00,340
2016-11-09 03:27:00,350
2016-11-09 03:28:00,308
2016-11-09 03:29:00,259
2016-11-09 03:30:00,332
2016-11-09 03:31:00,298
2016-11-09 03:32:00,345
2016-11-09 03:33:00,318
2016-11-09 03:34:00,320
2016-11-09 03:35:00,356
2016-11-09 03:36:00,370
2016-11-09 03:37:00,320
2016-11-09 03:38:00,318
2016-11-09 03:39:00,313
2016-11-09 03:40:00,375
2016-11-09 03:41:00,428
2016-11-09 03:42:00,326
2016-11-09 03:43:00,317
2016-11-09 03:44:00,381
2016-11-09 03:45:00,307
2016-11-09 03:46:00,404
2016-11-09 03:47:00,357
2016-11-09 03:48:00,327
2016-11-09 03:49:00,299
2016-11-09 03:50:00,372
2016-11-09 03:51:00,336
2016-11-09 03:52:00,302
2016-11-09 03:53:00,282
